"title","price","url"
"SAMSUNG BN94-12049E Main Board for UN50M5300AFXZA DA01","$51.90","https://www.ebay.com/itm/SAMSUNG-BN94-12049E-Main-Board-for-UN50M5300AFXZA-DA01/292971527767?epid=19018568368&hash=item443676be57:g:9W4AAOSwxphcbIrk"
"Samsung Main Board UN65MU6290F BN94-12696C","$69.99","https://www.ebay.com/itm/Samsung-Main-Board-UN65MU6290F-BN94-12696C/254280596953?epid=5020240010&hash=item3b344dfdd9:g:wlQAAOSwbA9dGGPZ"
"Samsung UN24H4000AFXZA Main Board BN94-11122a","$24.99","https://www.ebay.com/itm/Samsung-UN24H4000AFXZA-Main-Board-BN94-11122a/163760400207?hash=item2620e1674f:g:D98AAOSw72JdGjiM"
"SAMSUNG UN60H6203AFXZA MAIN UNIT BN94-07727Q , BN97-08810A","$38.99","https://www.ebay.com/itm/SAMSUNG-UN60H6203AFXZA-MAIN-UNIT-BN94-07727Q-BN97-08810A/254274705505?epid=18011485959&hash=item3b33f41861:g:iv4AAOSwl41dERH~:sc:USPSFirstClass!48823!US!-1"
"SPONSORED SAMSUNG BN94-11249A Main Board for","$22.50","https://www.ebay.com/itm/SAMSUNG-BN94-11249A-Main-Board-for/283514664875?epid=2075420008&_trkparms=ispr%3D1&hash=item4202ca77ab:g:qbcAAOSw7k9dAUMY&enc=AQADAAAB0KX%2FKt4E1xf3SDqEdBclaYZDFFB6PxA%2FBTNpE7mw45J4JqPB%2BCWabIvNIHjEky5TtGk2xohFEGj8Uo%2BKMRMfujnSrIlrs%2BHCq%2FBu5YZsVklnwe2gkH44dZjMuKSvqRnd15%2Brv2DnEhusJNCqRtqLE%2FsJgNQwZpg4zXQkp0YMq4gmOZvhMGLzxAZdnsTC%2B30j688BeKtfikEmlhk8k7zws7BrWf6pPW9p%2FUYPlcGeNA4pLDbNCOhPNs4XWJ1bIM66WPoPCfsXXLt6kB94U5ByLf%2FX6dbSwYqsrmK8zzF3VmAB0jTkRP7yH7TuPmdLc9jPwLBeoSTKu6ImeaalZrrulP%2F6cSyqqrOATs0gyJnIt8XIa4vPBM2yk%2BnDKfG4t40xrXsEXQ5Fq9JbSTWgaYlsCD91bsDjTmFPB%2FUuOQB0KUNKH7YKraPhy4U5%2FP%2By%2B15sTkExs%2BLKqEhZFB0IDsMxSrmyaReZ9jW9NAoy6oyDzmtohfueptADJXhSUDUlim48FXQDcYuCHAWnOJ%2Bj8JyQjpp6xNVHoONVDkRVQBqX1oAg0PofXZqnHU2zJHwePE33jtity23fon%2Bx7anSUNBj7BYFqd78hv0Uu1Ue9qS69Q4c&checksum=283514664875f4087d1a6b3a4a71aa007807b9a780e3"
"SPONSORED SAMSUNG BN94-13030A Main Board for QN75Q6FNAFXZA (Version AA01 / QNQ6F)","$199.90","https://www.ebay.com/itm/SAMSUNG-BN94-13030A-Main-Board-for-QN75Q6FNAFXZA-Version-AA01-QNQ6F/283268858609?epid=12024487770&_trkparms=ispr%3D1&hash=item41f423c2f1:g:ta4AAOSwRBVb81Tl&enc=AQADAAAB0KX%2FKt4E1xf3SDqEdBclaYZhxezBD3GwXtC1Gt2zT%2BoBXIEs2YMKE6f62casgi43GvUBuMIJCFLXP8%2BLuaZn792eNGo7yQ1gkV6d4xibxSocxgGl7F06UbSDAZVaHNQZSF0A4BGlhl%2BnVA0zhzZiukwFpC0Zv4ibqLxThEEQWurQ6gOFEHC1E9maZr9zD6SqpbFmDl7zjh9GO%2FFtiI0cY%2Bgv2pIRZHNw35SSPVPOW2%2FT0iIa8WioNLpJZwPNQicGUz%2FhX6mjkL5sC8Ek6P%2FzKCKokigUrDetYqzN4mtSeD7M0af0NHfb3UlnuOkbZerGHCcEB1CEisbAK6vLEi%2B%2Fcn9KMaMTJMysg6eA1I3plP5SocR1Wx%2Bx5VpzEqumOHKOPmOaGFxJI75qF5D%2FkiEZp1%2BH8ODKsAbK9R4ZYmZpUREncXiZuEPSMf%2BxefoNeBpw7oeq9pI9w5JLsqYGcehp6okisZTDlUC%2FqkEM2kQJFV%2FrhBZXF8NslsflQaJqmmfKuzU2A8cF1YtTspP4MFIPLZl%2FGtim8Agtinf2Xt1RsRJ5%2BH7min%2F5Vfcu0BZsftidbJLRYd23EDNrdiWA20TcDc1NP831FV25BKvwYDMHwb8L&checksum=283268858609f4087d1a6b3a4a71aa007807b9a780e3"
"Main Board BN94-07259E BN97-08043A BN41-02157B for Samsung UN55H6350AF","$49.00","https://www.ebay.com/itm/Main-Board-BN94-07259E-BN97-08043A-BN41-02157B-for-Samsung-UN55H6350AF/401798530489?hash=item5d8d0f05b9:g:zpkAAOSwmPFcXvSu"
"SAMSUNG UN40MU6290F MAIN BOARD BN94-12640X RIBBONS INCLUDED (WATCH RED CIRCLE)","$46.50","https://www.ebay.com/itm/SAMSUNG-UN40MU6290F-MAIN-BOARD-BN94-12640X-RIBBONS-INCLUDED-WATCH-RED-CIRCLE/173947918382?hash=item28801a982e:g:cg8AAOSwg9hdFqu-"
"Main Board for Samsung UN40MU6290FXZA BN94-12640X","$73.50","https://www.ebay.com/itm/Main-Board-for-Samsung-UN40MU6290FXZA-BN94-12640X/312677318215?hash=item48cd053e47:g:wn8AAOSwJqBdFgHz"
"Samsung BN94-12049L Main Board","$40.00","https://www.ebay.com/itm/Samsung-BN94-12049L-Main-Board/273832274141?epid=15015911963&hash=item3fc1ace8dd:g:ayQAAOSwKVVczMPO"
