sku,title,"Quantity Sold","Avg. Price","Total Sales Volume"
34.29110.052,"Sharp LC-55P620U / Hisense 55H6D T-Con Board (ST5461D07-1-C-3) 34.29110.052",8,17.9500000000000000,143.60
68-32D27L-000-USED,"TCL 28D2700 32S3750 32S3800 40FS3750 Stand Legs W/Screws - USED (68-32D27R-000)",8,34.9500000000000000,279.60
791.01C10.0003,"Vizio D65U-D2 LED Driver (75501C020001) 791.01C10.0003",8,49.9500000000000000,399.60
LC-50Q7030U-USED,"Sharp LC-50Q7030U 50H6E 55H6E 55R6E 58H6550E Stand Legs W/Screws - USED(01471)",8,29.9500000000000000,239.60
00111203302-NEW-6,"Vizio V605-G3 V655-G9 V656-G4 V705-G3 V755-G4 XRT136 Remote 00111203302 - New",8,12.9500000000000000,103.60
BN94-11273A,"Samsung UN43KU6300FXZA Main Board (BN97-11557B) BN94-11273A",8,30.0000000000000000,240.00
D50X-G9-USED,"Vizio D50X-G9 V505-G9 Stand Legs W/Screws - USED(7H08800009 7H08800008)",8,24.9500000000000000,199.60
55.50T15.C04,"Vizio E50-C1 D50N-E1 E500I-B1 T-Con Board 55.50T15.C04 55.50T15.C06",8,8.9500000000000000,71.60
IF_02304DA8,"TCL 48FS3750 55FS3750 50FS3800 48FD2700 Stand Legs W/Screws - USED(68-739380)",8,29.9500000000000000,239.60
RC440-NEW,"JVC LT-65MAW595 Roku TV Remote Netflix ESPN+ Hulu Roku Channel RC440 NEW",7,29.9500000000000000,209.65
3226000738-USED,"Onn 100007147 Roku Remote (RC-ALIR) 3226000738-USED",7,19.9500000000000000,139.65
EBT64473302,"LG 65UJ6300-UA Main Board (EAX67187104) EBT64473302",7,29.9500000000000000,209.65
98003061083-NEW,"Vizio E60-C3 E55-C2 Remote Xumo NetFlix Amazon XRT122 00111203243 0980-0306-1083",7,12.9500000000000000,90.65
EVTLBM500P0601-DN-2,"Vizio D50U-D1 LED Backlight Strip Set (12) EVTLBM500P0601-DN-2",7,49.9500000000000000,349.65
BN59-01148B,"Samsung UN65ES6500FXZA Wi-Fi Module (WIDT20R) BN59-01148B",7,39.9500000000000000,279.65
BN94-06167F,"Samsung UN60F6300AFXZA Main Board (BN97-07073Z) BN94-06167F",7,109.9500000000000000,769.65
CIR-CIR-15,"Hisense 50H6E 65H6E 55H9EPLUS 55R6000E 50R6E 55H8E Power Cord",7,8.9500000000000000,62.65
A-2165-797-A,"Sony XBR-55X800E XBR-49X800E XBR-43X800E Main Board A-2165-797-A",7,119.9500000000000000,839.65
E55-D0-USED,"Vizio E55-D0, D48F-E0, D55-E0 & E48-D0 Stand Legs W/Screws - Used",7,24.9500000000000000,174.65
RRC280J-NEW,"TCL 32S325 55S425 50S425 65S425 Roku Remote RRC280J NEW",7,19.9500000000000000,139.65
D55N-E2-NEW,"Vizio D55N-E2 E55-E2 E50U-D2 D55F-E2 Stand Legs W/Screws - New",7,34.9500000000000000,244.65
CIR-CIR-12,"TCL 32S305 55US57 32S301 65S401 32S3800 55R615 65S405 Power Cord",7,8.9500000000000000,62.65
CIR-CIR-14,"Hisense 49H6E 55H6E 50R7E 43H6E 65H9080E 65R6E 55R6E Power Cord",7,8.9500000000000000,62.65
48-55-EH-RECT-USED-6,"Samsung UN55H6203AF UN55J6200A Stand Base W/Screws-USED",7,39.9500000000000000,279.65
EAY63031604,"LG 49LJ5100-UC AC Adapter 19V 3.42A (LCAP40) EAY63031604",6,19.9500000000000000,119.70
0500-0614-0421,"Vizio E390I-B0 E420I-B0 Power Supply 0500-0614-0421 / 0500-0614-0420",6,24.9500000000000000,149.70
43LF421U19-USED,"Toshiba 43LF421U19 43LF421C19CA 43LF621U19 Stand Legs W/Screws-USED(78V0G100010)",6,24.9500000000000000,149.70
317GAAWF533LON-NEW,"Vizio Wi-Fi Module Board (WN4510L) 317GAAWF533LON - New",6,7.8550000000000000,43.32
UN65MU8000FXZA-NEW,"Samsung UN65MU8000FXZA, UN65MU8500FXZA Stand Legs - New",6,69.2833333333333333,415.70
QN49Q6FNAFXZA-NEW,"Samsung QN49Q6FNAF QN49Q6FNAV QN55Q6FNAF QN55Q6FNAV Stand Legs-NEW",6,49.9500000000000000,299.70
1-849-161-11-NEW,"Sony XBR-43X800D IR Blaster Cable  1-849-161-11 / 1-849-161-12 - New",6,6.9500000000000000,41.70
BN94-12240E,"Samsung UN65MU6300FXZA Main Board (BN97-13471A) BN94-12440E",6,98.6333333333333333,591.80
CIR-CIR-10,"TCL 48FS3700 32D2700 48FS3750 32S3750 32S3700 32B2800 Power Cord",6,8.9500000000000000,53.70
NS-32D220NA18-NEW,"Insignia NS-32D220NA18 Stand Legs W/Screws - NEW(2028285401)",6,34.9500000000000000,209.70
111203301-NEW-4,"Vizio XRT136 Remote 00111203301 for D60-F3 P55-E1 E60-E3 E70-E3 E65-E1 - New",6,9.9500000000000000,59.70
43LH5700UD-USED,"LG 43LH5700UD 49UH6100UH Stand Legs W/Screws - USED(AAN75710232 AAN75710231)",6,24.9500000000000000,149.70
BN59-01312A-NEW,"NEW Original Samsung QN65Q900RB QN75Q900RB Remote BN59-01312A",6,49.9500000000000000,299.70
55.50T28.C03,"Vizio M50-C1 P50-C1 E50U-D2 / Sharp Kenmore T-Con Board 55.50T28.C03",6,24.9500000000000000,149.70
IF_56807258,"TCL 48FS3750 55FS3750 50FS3800 48FD2700 Stand Legs W/Screws - NEW(68-739380)",6,39.9500000000000000,239.70
101018E0056-USED,"Philips 32PFL4664/F7 Roku Remote Netflix Hulu Vudu Roku Channel 101018E0056 USED",6,17.9500000000000000,107.70
50LF711U20-USED,"Toshiba 50LF711U20  Stand Legs W/Screws-USED",6,24.9500000000000000,149.70
4C-LB3205-YHEX1,"TCL 55FS3750 LED Backlight Strip Set (8) 4C-LB3205-YHEX1 / 4C-LB3205-YH1",6,39.9500000000000000,239.70
756TXICB01K0140,"Insignia NS-55DF710NA19 NS-58D620NA20 Main Board 756TXICB01K0140",6,59.9500000000000000,359.70
49S405-USED,"TCL 49S405 49S305 55S405 Stand Legs W/Screws - Used(68-50D290-000)",6,29.9500000000000000,179.70
