"title","price","url"
"New open box Samsung One Connect Cable, QLED 16 Ft/5 Meter, Model # Bn39-02395A","$70.00","https://www.ebay.com/itm/New-open-box-Samsung-One-Connect-Cable-QLED-16-Ft-5-Meter-Model-Bn39-02395A/113780664674?hash=item1a7ddb2962:g:CCAAAOSwdeVdASvu"
"GENUINE Samsung One Connect Cable Cord for BN91-17814W BN91-178814A 9'6""","$49.99","https://www.ebay.com/itm/GENUINE-Samsung-One-Connect-Cable-Cord-for-BN91-17814W-BN91-178814A-96/173928453928?hash=item287ef19728:g:x0UAAOSw4DJYfnUx:sc:USPSFirstClass!49503!US!-1"
"SAMSUNG One Connect BN91-18726A, Free Shipping","$29.99","https://www.ebay.com/itm/SAMSUNG-One-Connect-BN91-18726A-Free-Shipping/401610313946?hash=item5d81d710da:g:De4AAOSw9tpbYdxI"
"SAMSUNG 60"" UN60J6200AFXZA BN94-09127A Main Video Board Motherboard Unit","$19.94","https://www.ebay.com/itm/SAMSUNG-60-UN60J6200AFXZA-BN94-09127A-Main-Video-Board-Motherboard-Unit/172090417260?epid=3014018182&hash=item281163606c:g:iTwAAOSw1Ldcv1b9"
"Samsung Main Board BN97-13470A -- Tested","$49.99","https://www.ebay.com/itm/Samsung-Main-Board-BN97-13470A-Tested/283533738973?hash=item4203ed83dd:g:8o4AAOSwTm9dGhEQ:sc:USPSPriority!49503!US!-1"
"NEW Samsung Original TV Wall Mount Adapters UN65KS8000 UN55KS8000 BN61-13518A","$14.95","https://www.ebay.com/itm/NEW-Samsung-Original-TV-Wall-Mount-Adapters-UN65KS8000-UN55KS8000-BN61-13518A/132407681935?hash=item1ed41ce38f:g:1A8AAOSw52Fc79RJ"
"Samsung 40"" LNS4051DX/XAA BN94-00864A LCD Main Video Board Motherboard Unit","$22.99","https://www.ebay.com/itm/Samsung-40-LNS4051DX-XAA-BN94-00864A-LCD-Main-Video-Board-Motherboard-Unit/161993207422?hash=item25b78c2e7e:g:USoAAOSw4~1cv1I0"
"Samsung BN94-07868A Main Board for UN46H6201AFXZA (Version TD01)","$38.00","https://www.ebay.com/itm/Samsung-BN94-07868A-Main-Board-for-UN46H6201AFXZA-Version-TD01/254176748783?epid=1731711981&hash=item3b2e1d64ef:g:wVgAAOSwNmVahT-7"
"Samsung UN55J6200AFXZA LED Backlight Strip Set 10- BN96-28772A BN96-28773A","$39.95","https://www.ebay.com/itm/Samsung-UN55J6200AFXZA-LED-Backlight-Strip-Set-10-BN96-28772A-BN96-28773A/153452991561?epid=2256610803&hash=item23ba82d449:g:MmMAAOSw~dVctPRJ"
"BN44-00516A Samsung Power Supply Board PN64E8000GFXZA PN64E7000F For 64"" TV","$127.99","https://www.ebay.com/itm/BN44-00516A-Samsung-Power-Supply-Board-PN64E8000GFXZA-PN64E7000F-For-64-TV/282241571676?hash=item41b6e89b5c:g:bYUAAOSwckVcOWOA:sc:USPSPriority!49503!US!-1"
"BN96-29074A/BN96-29075A Samsung LED Kit (Set of 6 Strips) from UN60H6203AFXZA","$49.98","https://www.ebay.com/itm/BN96-29074A-BN96-29075A-Samsung-LED-Kit-Set-of-6-Strips-from-UN60H6203AFXZA/323848654104?epid=22019239973&hash=item4b66e24d18:g:vm8AAOSwIK9dBr4l"
"Samsung LN46B650T1FXZA Main Board BN94-02573G BN97-03088G, BN40-00140A","$29.00","https://www.ebay.com/itm/Samsung-LN46B650T1FXZA-Main-Board-BN94-02573G-BN97-03088G-BN40-00140A/183853364204?epid=2204930923&hash=item2ace83b3ec:g:~5sAAOSw-O9dCnJ3:sc:USPSPriority!49503!US!-1"
"ORIGINAL SAMSUNG BN59-01315A REMOTE CONTROL","$10.00","https://www.ebay.com/itm/ORIGINAL-SAMSUNG-BN59-01315A-REMOTE-CONTROL/192948155909?epid=28023108564&hash=item2cec9b3605:g:fEwAAOSwgphdAQDP"
"SAMSUNG UN46EH5300FXZA BN44-00667A BN94-06711J BN96-27252A ""No return""","$69.00","https://www.ebay.com/itm/SAMSUNG-UN46EH5300FXZA-BN44-00667A-BN94-06711J-BN96-27252A-No-return/283128940599?hash=item41ebccc837:g:4R4AAOSwxXZccsXQ"
"QLED Q6F Samsung One Connect Cable Cord for BN96-44183A, BN39-02210C UN65MU9000","$40.00","https://www.ebay.com/itm/QLED-Q6F-Samsung-One-Connect-Cable-Cord-for-BN96-44183A-BN39-02210C-UN65MU9000/183335197808?hash=item2aafa11c70:g:gKsAAOSwUKxYZp~1:sc:USPSFirstClass!49503!US!-1"
"SAMSUNG 50"" UN50JS7000FXZA BN94-09269A Main Video Board Motherboard Discount","$50.94","https://www.ebay.com/itm/SAMSUNG-50-UN50JS7000FXZA-BN94-09269A-Main-Video-Board-Motherboard-Discount/162237826356?epid=16014965572&hash=item25c620c534:g:ovwAAOSwpmhcv1cq"
"SAMSUNG POWER BOARD# BN44-00807A","$12.90 $27.50","https://www.ebay.com/itm/SAMSUNG-POWER-BOARD-BN44-00807A/312672282625?epid=691134110&hash=item48ccb86801:g:dggAAOSw3hFdEcIa"
"Samsung LN46B650T1FXZA Main Board BN94-02578G BN40-00140A, BN41-01149A","$38.90","https://www.ebay.com/itm/Samsung-LN46B650T1FXZA-Main-Board-BN94-02578G-BN40-00140A-BN41-01149A/173905795497?epid=2102981003&hash=item287d97d9a9:g:mPAAAOSwMiJc3tY0:sc:USPSPriority!49503!US!-1"
