Order_number,"Total Orders","Units Sold",Payment,"Item Price",Revenue,Commission,Tax,Discount,"Shipping Price","Shipping Cost","Item Cost",Profit,"Margin Percentage"
"=""1045721""",1,1,323.2,299.95,262.83,37.12,23.25,0,0,13.92,0,248.91,94.7
"=""1062326""",1,1,323.95,299.95,262.81,37.14,24,0,0,5.4,0,257.41,97.95
"=""1053796""",1,1,323.95,299.95,262.81,37.14,24,0,0,15.39,0,247.42,94.14
"=""1048838""",1,1,324.7,299.95,262.78,37.17,24.75,0,0,5.4,0,257.38,97.95
"=""1058963""",1,1,324.7,299.95,262.78,37.17,24.75,0,0,12.15,0,250.63,95.38
"=""1044321""",1,1,326.57,299.95,262.73,37.22,26.62,0,0,9.46,0,253.27,96.4
"=""1055886""",1,1,327.7,299.95,262.7,37.25,27.75,0,0,13.93,0,248.77,94.7
"=""1046308""",1,1,328.07,299.95,262.69,37.26,28.12,0,0,8.76,0,253.93,96.67
"=""1054117""",1,1,311.17,294.95,258.64,36.31,16.22,0,0,15.05,0,243.59,94.18
"=""1062260""",1,10,299.5,299.5,254.58,44.93,0,0,0,12.76,0,241.82,94.99
"=""1058556""",1,1,324.7,299.95,251.25,48.71,24.75,0,0,10.33,0,240.92,95.89
"=""1064792""",1,1,249.95,249.95,249.95,0,0,0,0,5.54,0,244.41,97.78
"=""1045766""",1,1,284.9,249.95,249.95,0,34.95,0,34.95,0,0,249.95,100
"=""1053584""",1,1,264.95,249.95,249.95,0,15,0,0,8.04,0,241.91,96.78
"=""1045039""",1,1,249.95,249.95,249.95,0,0,0,0,11.59,0,238.36,95.36
"=""1042069""",1,1,249.95,249.95,249.95,0,0,0,0,0,0,249.95,100
"=""1050970""",1,1,249.95,249.95,249.95,0,0,0,0,10.11,0,239.84,95.96
"=""1042204""",1,1,292.4,249.95,249.95,0,42.45,0,42.45,0,0,249.95,100
"=""1058529""",1,1,249.95,249.95,249.95,0,0,0,0,0,0,249.95,100
"=""1063021""",1,1,249.95,249.95,249.95,0,0,0,0,0,0,249.95,100
"=""1048117""",1,1,266.9,249.95,249.95,0,16.95,0,16.95,0,0,249.95,100
"=""1041923""",1,1,249.95,249.95,249.95,0,0,0,0,8.4,0,241.55,96.64
"=""1054306""",1,1,265.65,249.95,249.95,0,15.7,0,15.7,13.38,0,236.57,94.65
"=""1046230""",1,1,279.95,279.95,245.91,34.04,0,0,0,7.98,0,237.93,96.75
"=""1045986""",1,1,303.05,279.95,245.24,34.71,23.1,0,0,8.81,0,236.43,96.41
"=""1062242""",1,1,292.13,274.95,241.02,33.93,17.18,0,0,11.94,0,229.08,95.05
"=""1062053""",1,1,297.63,274.95,240.86,34.09,22.68,0,0,2.84,0,238.02,98.82
"=""1047769""",1,3,290.09,269.85,236.44,33.4,20.25,0,0,8.76,0,227.68,96.3
"=""1062910""",1,1,264.95,249.95,232.73,32.22,0,0,15,32.4,0,200.33,86.08
"=""1050225""",1,1,284.32,249.95,232.16,32.79,19.37,0,15,27.55,0,204.61,88.13
"=""1060415""",1,1,290.78,249.95,231.98,32.97,25.83,0,15,9.31,0,222.67,95.99
"=""1059570""",1,2,278.48,259.9,227.74,32.16,18.58,0,0,11.94,0,215.8,94.76
"=""1041815""",1,9,251.55,251.55,220.94,30.61,0,0,0,3.22,0,217.72,98.54
"=""1057190""",1,1,250,250,219.57,30.43,0,0,0,9.54,0,210.03,95.66
"=""1047118""",1,1,249.95,249.95,219.53,30.42,0,0,0,9.07,0,210.46,95.87
"=""1055582""",1,1,249.95,249.95,219.53,30.42,0,0,0,8.12,0,211.41,96.3
"=""1049050""",1,1,249.95,249.95,219.53,30.42,0,0,0,24.45,0,195.08,88.86
"=""1046861""",1,1,249.95,249.95,219.53,30.42,0,0,0,12.06,0,207.47,94.51
"=""1061252""",1,1,249.95,249.95,219.53,30.42,0,0,0,12.75,0,206.78,94.19
"=""1061670""",1,1,249.95,249.95,219.53,30.42,0,0,0,8.2,0,211.33,96.26
"=""1048602""",1,1,249.95,249.95,219.53,30.42,0,0,0,8.2,0,211.33,96.26
"=""1058221""",1,1,249.95,249.95,219.53,30.42,0,0,0,7.84,0,211.69,96.43
"=""1047493""",1,1,249.95,249.95,219.53,30.42,0,0,0,14.16,0,205.37,93.55
"=""1042643""",1,1,249.95,249.95,219.53,30.42,0,0,0,11.06,0,208.47,94.96
"=""1041820""",1,1,249.95,249.95,219.53,30.42,0,0,0,11.67,0,207.86,94.68
"=""1060731""",1,1,249.95,249.95,219.53,30.42,0,0,0,8.2,0,211.33,96.26
"=""1053879""",1,1,249.95,249.95,219.53,30.42,0,0,0,8.2,0,211.33,96.26
"=""1062137""",1,1,249.95,249.95,219.53,30.42,0,0,0,11.97,0,207.56,94.55
"=""1060128""",1,1,249.95,249.95,219.53,30.42,0,0,0,10.64,0,208.89,95.15
"=""1047636""",1,1,263.95,249.95,219.13,30.82,14,0,0,9.9,0,209.23,95.48
"=""1056751""",1,1,263.95,249.95,219.13,30.82,14,0,0,8.2,0,210.93,96.26
"=""1060020""",1,1,264.95,249.95,219.1,30.85,15,0,0,8.12,0,210.98,96.29
"=""1045558""",1,1,264.95,249.95,219.1,30.85,15,0,0,8.12,0,210.98,96.29
"=""1045514""",1,1,264.95,249.95,219.1,30.85,15,0,0,9.39,0,209.71,95.71
"=""1048746""",1,1,265.57,249.95,219.08,30.87,15.62,0,0,9.39,0,209.69,95.71
"=""1059268""",1,1,265.57,249.95,219.08,30.87,15.62,0,0,5.04,0,214.04,97.7
"=""1061458""",1,1,265.57,249.95,219.08,30.87,15.62,0,0,7.84,0,211.24,96.42
"=""1045612""",1,1,266.51,249.95,219.05,30.9,16.56,0,0,8.12,0,210.93,96.29
"=""1057743""",1,1,266.82,249.95,219.04,30.91,16.87,0,0,9.98,0,209.06,95.44
"=""1042312""",1,1,266.82,249.95,219.04,30.91,16.87,0,0,11.67,0,207.37,94.67
"=""1044490""",1,1,266.82,249.95,219.04,30.91,16.87,0,0,8.2,0,210.84,96.26
"=""1059052""",1,1,267.2,249.95,219.03,30.92,17.25,0,0,7.98,0,211.05,96.36
"=""1041934""",1,1,267.45,249.95,219.02,30.93,17.5,0,0,9.26,0,209.76,95.77
"=""1058514""",1,1,267.45,249.95,219.02,30.93,17.5,0,0,7.8,0,211.22,96.44
"=""1059308""",1,1,267.45,249.95,219.02,30.93,17.5,0,0,8.76,0,210.26,96
"=""1042329""",1,1,267.45,249.95,219.02,30.93,17.5,0,0,10.03,0,208.99,95.42
"=""1048991""",1,1,268.07,249.95,219.01,30.94,18.12,0,0,8.5,0,210.51,96.12
"=""1042195""",1,1,268.7,249.95,218.99,30.96,18.75,0,0,8.25,0,210.74,96.23
"=""1045488""",1,1,269.32,249.95,218.97,30.98,19.37,0,0,10.76,0,208.21,95.09
"=""1052703""",1,1,270.57,249.95,218.93,31.02,20.62,0,0,9.98,0,208.95,95.44
"=""1045736""",1,1,270.57,249.95,218.93,31.02,20.62,0,0,8.76,0,210.17,96
"=""1059156""",1,1,271.82,249.95,218.9,31.05,21.87,0,0,15.08,0,203.82,93.11
"=""1058387""",1,1,275.19,249.95,218.8,31.15,25.24,0,0,20.74,0,198.06,90.52
"=""1052601""",1,1,275.44,249.95,218.79,31.16,25.49,0,0,14.57,0,204.22,93.34
"=""1042596""",1,8,239.6,239.6,217.61,21.99,0,0,0,9.13,0,208.48,95.8
"=""1051755""",1,1,277.95,249.95,216.26,41.69,20,0,8,8.2,0,208.06,96.21
"=""1060962""",1,1,278.57,249.95,216.16,41.79,20.62,0,8,11.94,0,204.22,94.48
"=""1061577""",1,1,278.57,249.95,216.16,41.79,20.62,0,8,7.98,0,208.18,96.31
"=""1058534""",1,1,278.57,249.95,216.16,41.79,20.62,0,8,8.2,0,207.96,96.21
"=""1057093""",1,1,249.95,249.95,215.78,34.17,0,0,0,8.2,0,207.58,96.2
"=""1058340""",1,1,249.95,249.95,215.78,34.17,0,0,0,7.84,0,207.94,96.37
"=""1060387""",1,1,262.77,249.95,215.22,34.73,12.82,0,0,5.4,0,209.82,97.49
"=""1042378""",1,3,214.85,214.85,214.85,0,0,0,0,15.42,0,199.43,92.82
"=""1047690""",1,1,249.95,249.95,212.46,37.49,0,0,0,5.4,0,207.06,97.46
"=""1045409""",1,1,249.95,249.95,212.46,37.49,0,0,0,9.26,0,203.2,95.64
"=""1064074""",1,2,239.9,239.9,210.69,29.21,0,0,0,8.2,0,202.49,96.11
"=""1045407""",1,3,239.85,239.85,210.64,29.21,0,0,0,8.96,0,201.68,95.75
"=""1064681""",1,8,259.8,240,210.17,29.79,19.84,0,0,12.6,0,197.57,94
"=""1064493""",1,1,259.75,239.95,210.16,29.79,19.8,0,0,12.11,0,198.05,94.24
"=""1051843""",1,1,265.57,249.95,210.11,39.84,15.62,0,0,5.04,0,205.07,97.6
"=""1055544""",1,1,206.96,206.96,206.96,0,0,0,0,16.13,0,190.83,92.21
"=""1062211""",1,2,230,230,201.98,28.02,0,0,0,8.2,0,193.78,95.94
"=""1055247""",1,1,229.95,229.95,201.94,28.01,0,0,0,10.33,0,191.61,94.88
"=""1055351""",1,1,229.95,229.95,201.94,28.01,0,0,0,14.16,0,187.78,92.99
"=""1058776""",1,1,229.95,229.95,201.94,28.01,0,0,0,12.6,0,189.34,93.76
"=""1055209""",1,1,243.75,229.95,201.54,28.41,13.8,0,0,8.45,0,193.09,95.81
"=""1048096""",1,1,243.75,229.95,201.54,28.41,13.8,0,0,12.34,0,189.2,93.88
"=""1053703""",1,1,244.32,229.95,201.52,28.43,14.37,0,0,8.39,0,193.13,95.84
"=""1060096""",1,1,245.47,229.95,201.49,28.46,15.52,0,0,9.39,0,192.1,95.34
"=""1060350""",1,1,246.62,229.95,201.46,28.49,16.67,0,0,8.45,0,193.01,95.81
"=""1051340""",1,1,248.06,229.95,201.42,28.53,18.11,0,0,14.7,0,186.72,92.7
"=""1054492""",1,1,247.77,229.95,201.42,28.53,17.82,0,0,13.39,0,188.03,93.35
"=""1059151""",1,1,249.78,229.95,201.37,28.58,19.83,0,0,9.07,0,192.3,95.5
"=""1053175""",1,1,250.07,229.95,201.36,28.59,20.12,0,0,10.35,0,191.01,94.86
"=""1049531""",1,1,250.36,229.95,201.35,28.6,20.41,0,0,9.74,0,191.61,95.16
"=""1046028""",1,1,250.36,229.95,201.35,28.6,20.41,0,0,8.81,0,192.54,95.62
"=""1043159""",1,1,252.95,229.95,201.27,28.68,23,0,0,13.22,0,188.05,93.43
"=""1055589""",1,1,199.95,199.95,199.95,0,0,0,0,5.04,0,194.91,97.48
"=""1042038""",1,1,220.9,199.95,199.95,0,20.95,0,20.95,0,0,199.95,100
"=""1062192""",1,1,199.95,199.95,199.95,0,0,0,0,5.12,0,194.83,97.44
"=""1045415""",1,1,199.95,199.95,199.95,0,0,0,0,7.88,0,192.07,96.06
"=""1061215""",1,1,199.95,199.95,199.95,0,0,0,0,5.27,0,194.68,97.36
"=""1048354""",1,1,199.95,199.95,199.95,0,0,0,0,5.4,0,194.55,97.3
"=""1062675""",1,3,252.32,209.85,196,37.85,18.47,0,24,18.74,0,177.26,90.44
"=""1045117""",1,4,240.28,223,195.33,27.67,17.28,0,0,13.92,0,181.41,92.87
"=""1046087""",1,1,233.92,219.95,192.74,27.21,13.97,0,0,9.39,0,183.35,95.13
"=""1057321""",1,1,189.95,199.95,189.95,0,0,0,0,13.22,0,176.73,93.04
"=""1062833""",1,1,205.9,189.95,189.95,0,15.95,0,15.95,4,0,185.95,97.89
"=""1045979""",1,2,189.85,109.9,189.85,0,0,0,0,9.39,0,180.46,95.05
"=""1058137""",1,1,219.95,219.95,189.84,30.11,0,0,0,8.5,0,181.34,95.52
"=""1044760""",1,1,214.95,214.95,188.75,26.2,0,0,0,13.69,0,175.06,92.75
"=""1054511""",1,1,239.61,214.95,187.01,35.94,16.66,0,8,8.2,0,178.81,95.62
"=""1062060""",1,2,233.09,219.9,184.94,34.96,13.19,0,0,9.07,0,175.87,95.1
"=""1063068""",1,2,210,210,184.39,25.61,0,0,0,8.2,0,176.19,95.55
"=""1058791""",1,7,209.65,209.65,184.09,25.56,0,0,0,14.16,0,169.93,92.31
"=""1051422""",1,1,226.8,210,183.9,26.1,16.8,0,0,8.74,0,175.16,95.25
"=""1064144""",1,1,179.96,179.96,179.96,0,0,0,0,5.12,0,174.84,97.15
"=""1060527""",1,1,197.96,179.96,179.96,0,18,0,0,8.23,0,171.73,95.43
"=""1054529""",1,1,179.96,179.96,179.96,0,0,0,0,9.07,0,170.89,94.96
"=""1063353""",1,1,179.95,179.95,179.95,0,0,0,0,0,0,179.95,100
"=""1046498""",1,1,179.95,179.95,179.95,0,0,0,0,8.76,0,171.19,95.13
"=""1062964""",1,1,179.95,179.95,179.95,0,0,0,0,0,0,179.95,100
"=""1062829""",1,1,179.95,179.95,179.95,0,0,0,0,4,0,175.95,97.78
"=""1064141""",1,1,179.95,179.95,179.95,0,0,0,0,0,0,179.95,100
"=""1049068""",1,1,179.95,179.95,179.95,0,0,0,0,7.84,0,172.11,95.64
"=""1059529""",1,3,179.85,179.85,179.85,0,0,0,0,8.2,0,171.65,95.44
"=""1047482""",1,1,200,200,175.6,24.4,0,0,0,13.16,0,162.44,92.51
"=""1058917""",1,1,200,200,175.6,24.4,0,0,0,11.94,0,163.66,93.2
"=""1042164""",1,1,199.95,199.95,175.55,24.4,0,0,0,8.81,0,166.74,94.98
"=""1047048""",1,1,199.95,199.95,175.55,24.4,0,0,0,9.07,0,166.48,94.83
"=""1044510""",1,1,199.95,199.95,175.55,24.4,0,0,0,5.24,0,170.31,97.02
"=""1046070""",1,1,199.95,199.95,175.55,24.4,0,0,0,5.4,0,170.15,96.92
"=""1045563""",1,1,199.95,199.95,175.55,24.4,0,0,0,9.3,0,166.25,94.7
"=""1063171""",1,1,199.95,199.95,175.55,24.4,0,0,0,8.85,0,166.7,94.96
"=""1041987""",1,1,199.95,199.95,175.55,24.4,0,0,0,8.5,0,167.05,95.16
"=""1050202""",1,1,199.95,199.95,175.55,24.4,0,0,0,9.35,0,166.2,94.67
"=""1042523""",1,1,199.95,199.95,175.55,24.4,0,0,0,10.03,0,165.52,94.29
"=""1059793""",1,1,199.95,199.95,175.55,24.4,0,0,0,9.99,0,165.56,94.31
"=""1062265""",1,1,199.95,199.95,175.55,24.4,0,0,0,8.2,0,167.35,95.33
"=""1060954""",1,2,199.9,199.9,175.51,24.39,0,0,0,8.59,0,166.92,95.11
"=""1045720""",1,1,209,200,175.34,24.66,9,0,0,18.14,0,157.2,89.65
"=""1058734""",1,1,207.95,199.95,175.32,24.63,8,0,0,5.4,0,169.92,96.92
"=""1059769""",1,8,199.6,199.6,175.25,24.35,0,0,0,23.37,0,151.88,86.66
"=""1047485""",1,1,210.75,199.95,175.24,24.71,10.8,0,0,13.65,0,161.59,92.21
"=""1048921""",1,1,210.95,199.95,175.23,24.72,11,0,0,8.45,0,166.78,95.18
"=""1043338""",1,1,211.95,199.95,175.2,24.75,12,0,0,7.95,0,167.25,95.46
"=""1047216""",1,1,211.95,199.95,175.2,24.75,12,0,0,12.11,0,163.09,93.09
"=""1061081""",1,1,211.95,199.95,175.2,24.75,12,0,0,4,0,171.2,97.72
"=""1043587""",1,1,211.95,199.95,175.2,24.75,12,0,0,8.34,0,166.86,95.24
"=""1046084""",1,1,211.95,199.95,175.2,24.75,12,0,0,9.74,0,165.46,94.44
"=""1064787""",1,1,212.55,199.95,175.19,24.76,12.6,0,0,12.99,0,162.2,92.59
"=""1054170""",1,1,212.45,199.95,175.19,24.76,12.5,0,0,14.83,0,160.36,91.53
"=""1063925""",1,1,213.45,199.95,175.16,24.79,13.5,0,0,9.07,0,166.09,94.82
"=""1056650""",1,1,213.95,199.95,175.15,24.8,14,0,0,9.07,0,166.08,94.82
"=""1053887""",1,1,213.95,199.95,175.15,24.8,14,0,0,8.23,0,166.92,95.3
"=""1049757""",1,1,213.95,199.95,175.15,24.8,14,0,0,8.5,0,166.65,95.15
"=""1060275""",1,1,213.95,199.95,175.15,24.8,14,0,0,21.49,0,153.66,87.73
"=""1061801""",1,1,214.45,199.95,175.13,24.82,14.5,0,0,12.6,0,162.53,92.81
"=""1058676""",1,1,215,199.95,175.11,24.84,15.05,0,0,5.12,0,169.99,97.08
"=""1059272""",1,1,216.45,199.95,175.07,24.88,16.5,0,0,9.69,0,165.38,94.47
"=""1061090""",1,1,216.7,199.95,175.07,24.88,16.75,0,0,12.99,0,162.08,92.58
"=""1053063""",1,1,216.95,199.95,175.06,24.89,17,0,0,11.18,0,163.88,93.61
"=""1053451""",1,1,217.45,199.95,175.04,24.91,17.5,0,0,13.96,0,161.08,92.02
"=""1046117""",1,1,217.7,199.95,175.04,24.91,17.75,0,0,5.12,0,169.92,97.07
"=""1045566""",1,1,220,200,175.02,24.98,20,0,0,13.06,0,161.96,92.54
"=""1051893""",1,1,218.95,199.95,175,24.95,19,0,0,5.7,0,169.3,96.74
"=""1051030""",1,1,219.75,199.95,174.98,24.97,19.8,0,0,15.63,0,159.35,91.07
"=""1043619""",1,2,218.89,199.9,174.95,24.94,19,0,0,8.87,0,166.08,94.93
"=""1061366""",1,1,224.45,199.95,174.28,33.67,16.5,0,8,11.94,0,162.34,93.15
"=""1054789""",1,1,227.95,199.95,173.76,34.19,20,0,8,13.07,0,160.69,92.48
"=""1045966""",1,1,199.95,199.95,172.55,27.4,0,0,0,4.18,0,168.37,97.58
"=""1064016""",1,4,199.8,199.8,172.43,27.37,0,0,0,9.19,0,163.24,94.67
"=""1044943""",1,1,204.7,179.95,170.87,24.08,9.75,0,15,13.75,0,157.12,91.95
"=""1060030""",1,1,208.9,179.95,170.75,24.2,13.95,0,15,8.2,0,162.55,95.2
"=""1062219""",1,1,211.6,179.95,170.67,24.28,16.65,0,15,12.88,0,157.79,92.45
"=""1055543""",1,1,199.95,199.95,169.96,29.99,0,0,0,8.59,0,161.37,94.95
"=""1052237""",1,1,199.95,199.95,169.96,29.99,0,0,0,5.27,0,164.69,96.9
"=""1055617""",1,1,199.95,199.95,169.96,29.99,0,0,0,10.64,0,159.32,93.74
"=""1059257""",1,1,199.95,199.95,169.96,29.99,0,0,0,8.7,0,161.26,94.88
"=""1047995""",1,1,199.95,199.95,169.96,29.99,0,0,0,4.18,0,165.78,97.54
"=""1057301""",1,1,169.95,169.95,169.95,0,0,0,0,5.12,0,164.83,96.99
"=""1048102""",1,1,169.95,169.95,169.95,0,0,0,0,5.12,0,164.83,96.99
"=""1059240""",1,3,209.46,193.5,169.42,24.08,15.96,0,0,9.19,0,160.23,94.58
"=""1059300""",1,1,216.45,199.95,167.48,32.47,16.5,0,0,11.94,0,155.54,92.87
"=""1063337""",1,1,216.45,199.95,167.48,32.47,16.5,0,0,5.27,0,162.21,96.85
"=""1059900""",1,1,217.2,199.95,167.37,32.58,17.25,0,0,4.08,0,163.29,97.56
"=""1063203""",1,4,189.8,189.8,166.63,23.17,0,0,0,12.56,0,154.07,92.46
"=""1043239""",1,1,201.4,190,166.47,23.53,11.4,0,0,7.61,0,158.86,95.43
"=""1051908""",1,1,202.53,189.95,166.4,23.55,12.58,0,0,18.52,0,147.88,88.87
"=""1060055""",1,1,205.86,189.95,166.3,23.65,15.91,0,0,4.32,0,161.98,97.4
"=""1042914""",1,1,164.95,104.95,164.95,0,0,0,60,50.78,0,114.17,69.21
"=""1043209""",1,1,185.95,185.95,163.25,22.7,0,0,0,4.94,0,158.31,96.97
"=""1064032""",1,6,179.7,179.7,163.14,16.56,0,0,0,8.85,0,154.29,94.58
"=""1058796""",1,1,161.96,161.96,161.96,0,0,0,0,4.46,0,157.5,97.25
"=""1062473""",1,1,202.06,184.95,161.87,23.08,17.11,0,0,27.1,0,134.77,83.26
"=""1061402""",1,1,203.63,169.95,161.82,23.13,18.68,0,15,16.11,0,145.71,90.04
"=""1049784""",1,1,159.95,159.95,159.95,0,0,0,0,5.08,0,154.87,96.82
"=""1064423""",1,1,198.75,179.95,158.14,29.81,10.8,0,8,7.56,0,150.58,95.22
"=""1059808""",1,1,198.75,179.95,158.14,29.81,10.8,0,8,8.59,0,149.55,94.57
"=""1049353""",1,1,199.2,179.95,158.07,29.88,11.25,0,8,9.98,0,148.09,93.69
"=""1053257""",1,1,179.95,179.95,157.96,21.99,0,0,0,9.54,0,148.42,93.96
"=""1060843""",1,1,179.95,179.95,157.96,21.99,0,0,0,8.12,0,149.84,94.86
"=""1064598""",1,1,179.95,179.95,157.96,21.99,0,0,0,8.2,0,149.76,94.81
"=""1060647""",1,1,179.95,179.95,157.96,21.99,0,0,0,8.76,0,149.2,94.45
"=""1062100""",1,1,179.95,179.95,157.96,21.99,0,0,0,5.27,0,152.69,96.66
"=""1062568""",1,1,179.95,179.95,157.96,21.99,0,0,0,5.4,0,152.56,96.58
"=""1058233""",1,1,179.95,179.95,157.96,21.99,0,0,0,8.7,0,149.26,94.49
"=""1061537""",1,1,179.95,179.95,157.96,21.99,0,0,0,8.12,0,149.84,94.86
"=""1045270""",1,1,188.05,179.95,157.73,22.22,8.1,0,0,8.2,0,149.53,94.8
"=""1064676""",1,1,190.75,179.95,157.65,22.3,10.8,0,0,9.07,0,148.58,94.25
"=""1053327""",1,1,190.75,179.95,157.65,22.3,10.8,0,0,9.69,0,147.96,93.85
"=""1046509""",1,1,190.75,179.95,157.65,22.3,10.8,0,0,8.12,0,149.53,94.85
"=""1060901""",1,1,190.75,179.95,157.65,22.3,10.8,0,0,5.12,0,152.53,96.75
