"Order Number",SKU,Quantity,Carrier,"Service Level",Tracking,Cost,"Package Weight","Package Length","Package Width","Package Height"
="1043959",="4T-TCN550-CS15",="1",USPS,first_class_mail,="9400111298370478976813",="3.2",="4.2",="9",="7",="2"
="1043916",="08-L14TWA2-PW220AN",="1",USPS,priority_mail,="9405511298370478974683",="6.95",="15",,,
="1043923",="4T-TCN550-CS15",="1",USPS,first_class_mail,="9400111298370478994824",="3.36",="4.1",="9",="7",="2"
="1043941",="BN95-03683A",="1",USPS,first_class_mail,="9400111298370478996729",="3.28",="4.8",,,
="1043899",="EAD63505502-2",="1",USPS,first_class_mail,="9400111298370478953814",="2.84",="3.7",,,
="1043917",="1-895-676-11",="1",USPS,first_class_mail,="9400111298370478958994",="2.7",="3.8",,,
="1043871",="JUC7.820.00180256-50",="1",USPS,first_class_mail,="9400111298370478951049",="4.06",="9.8",,,
="1043884",="756TXFCB0QK0240",="1",USPS,priority_mail,="9405511298370478964905",="7.42",="32",,,
="1043872",="08-L14TWA2-PW220AN",="1",USPS,first_class_mail,="9400111298370478967712",="4.33",="12",,,
="1043934",="PN51F5300AF-USED",="1",FEDEX,home_delivery,="779370335228",="11.47",="96",,,
="1043876",="55.65T46.C01",="1",USPS,first_class_mail,="9400111298370478980230",="2.68",="3.8",,,
="1043958",="75033152",="1",USPS,first_class_mail,="9400111298370478903949",="3.88",="8.4",,,
="1043947",="186459",="1",USPS,first_class_mail,="9400111298370478902072",="3.18",="5.1",,,
="1043926",="UN60F7050AF-USED",="1",FEDEX,home_delivery,="779370505562",="11.04",="192",,,
="1043954",="UN65KU7000FXZA-USED",="1",FEDEX,home_delivery,="779370549789",="15.63",="272",,,
="1043928",="BN95-01938A",="1",USPS,first_class_mail,="9400111298370470019525",="3.28",="7.2",,,
="1043906",="E500AR-NEW",="1",USPS,priority_mail,="9405511298370470010365",="10.33",="80",,,
="1043961",="20031",="1",FEDEX,home_delivery,="779370651748",="11.42",="112",,,
="1043932",="BN96-44628U-N",="1",FEDEX,home_delivery,="779370677726",="11.04",="128",,,
="1043951",="X505BV-FSR-USED",="1",USPS,first_class_mail,="9400111298370470046996",="4.98",="14.6",,,
="1043950",="U405CV-UMS-USED",="1",USPS,first_class_mail,="9400111298370470046996",="4.98",="14.6",,,
="1043881",="LJ92-01797A",="1",FEDEX,ground,="779370732220",="8.4",="32",,,
="1043936",="81-PBE032-M92",="1",USPS,first_class_mail,="9400111298370470078966",="3.36",="8",,,
="1043895",="188192",="1",USPS,first_class_mail,="9400111298370470093228",="3.28",="5",,,
="1043952",="BN94-04523A",="1",USPS,first_class_mail,="9400111298370470092337",="4.33",="10.8",,,
="1043892",="08-CS55CFN-OC406AA",="1",USPS,first_class_mail,="9400111298370470097547",="4.33",="9.7",,,
="1043909",="M502I-B1-USED",="1",FEDEX,home_delivery,="779370853139",="12.14",="80",,,
="1043915",="55.50T28.C03",="1",USPS,first_class_mail,="9400111298370470058425",="2.84",="4",="8",="6",="1"
="1043925",="224024",="1",USPS,first_class_mail,="9400111298370470052058",="5.12",="12.7",,,
="1043953",="159323-REF",="1",FEDEX,2day,="779370991772",="7.95",="32",,,
="1043902",="39665A-39666A-16-2",="1",USPS,priority_mail,="9405511298370470065969",="7.88",="32",,,
="1043877",="BP47-00027A",="1",USPS,first_class_mail,="9400111298370470066215",="3.82",="10.2",,,
="1043940",="XBR-65X850E-NEW",="1",FEDEX,home_delivery,="779371077520",="12.68",="80",,,
="1043889",="9758080R",="1",USPS,first_class_mail,="9400111298370470086206",="5.02",="13.2",,,
="1043882",="5304515139",="1",USPS,first_class_mail,="9400111298370470005702",="2.84",="1",,,
="1043886",="02189A-02190A-NEW",="1",USPS,first_class_mail,="9400111298370470006792",="2.68",="2",,,
="1043949",="EBF61315802",="1",USPS,priority_mail,="9405511298370470839997",="6.95",="48",,,
="1043907",="BN96-43169A-NEW",="1",USPS,first_class_mail,="9400111298370470831479",="2.84",="3.9",="8",="5",="2"
="1043883",="AKB75375604-NEW-5",="1",USPS,first_class_mail,="9400111298370470814366",="2.7",="4",,,
="1043921",="VW32LHDTV40A-SCREWS",="1",USPS,first_class_mail,="9400111298370470810993",="2.76",="0.6",,,
="1043893",="AKB75375604-NEW-12",="1",USPS,first_class_mail,="9400111298370470817909",="2.7",="4",,,
="1043908",="E70-C3-SCREWS",="1",USPS,first_class_mail,="9400111298370470879396",="2.7",="1",,,
="1043965",="CIR-SQU-17",="1",USPS,first_class_mail,="9400111298370470849245",="2.84",="3.8",,,
="1043942",="BN96-16535A",="1",USPS,priority_mail,="9405511298370470875568",="8.81",="64",,,
="1043910",="KD55X720E-STAND-NEW",="1",USPS,priority_mail,="9405511298370470876251",="8.2",="64",,,
="1043903",="RTU4300-USED",="1",USPS,first_class_mail,="9400111298370470565466",="3.22",="5",,,
="1043938",="55S425-NEW",="1",USPS,first_class_mail,="9400111298370470568375",="4.06",="9.6",,,
="1043873",="1-849-276-11-NEW",="1",USPS,priority_mail,="9405511298370470585344",="6.95",="8",,,
="1043957",="LC-43LBU591U-USED",="1",USPS,first_class_mail,="9400111298370470586782",="3.63",="7.5",,,
="1043924",="55LH5750UB-USED",="1",USPS,first_class_mail,="9400111298370470509361",="5.02",="12.8",,,
="1043976",="BN96-22413P",="1",USPS,first_class_mail,="9400111298370470505844",="2.68",="1",,,
="1043911",="RDENCA235WJQZ",="1",USPS,priority_mail,="9405511298370470734773",="10.03",="64",,,
="1043935",="D32HN-E4-STAND-USED",="1",USPS,first_class_mail,="9400111298370470507763",="3.28",="7.2",,,
="1043960",="6871L-4203C",="1",USPS,priority_mail,="9405511298370470737842",="7.61",="32",,,
="1043974",="8201661",="1",USPS,first_class_mail,="9400111298370470779696",="5.53",="13.5",,,
="1043919",="1143755-NEW",="1",USPS,first_class_mail,="9400111298370470775438",="2.7",="1",,,
="1043913",="T8-28NA3R-MA1",="1",USPS,first_class_mail,="9400111298370470794774",="3.88",="8.3",,,
="1043970",="BN96-23812A",="1",USPS,first_class_mail,="9400111298370470777883",="2.84",="4",,,
="1043973",="NRC280J-NEW",="1",USPS,first_class_mail,="9400111298370470791100",="2.66",="2.1",,,
="1043885",="BN59-01301A-NEW-8",="1",USPS,first_class_mail,="9400111298370470798314",="3.09",="3.2",,,
="1043888",="TY-49C-NEW",="1",USPS,first_class_mail,="9400111298370470725778",="2.76",="3.9",,,
="1043955",="RLDEDV4001-A-C-NEW",="1",USPS,first_class_mail,="9400111298370470728458",="2.76",="3",,,
="1043956",="NH500UW-NEW",="1",USPS,first_class_mail,="9400111298370470753726",="2.84",="2.8",,,
="1043969",="AY1R5MSW",="1",USPS,first_class_mail,="9400111298370470758943",="2.76",="3",,,
="1043912",="RM-YD017-USED",="1",USPS,first_class_mail,="9400111298370470760335",="3.22",="6.5",,,
="1043904",="EAD61273134-NEW",="1",USPS,first_class_mail,="9400111298370470789732",="2.68",="1.5",,,
="1043904",="EAD61273133-NEW",="1",USPS,first_class_mail,="9400111298370470789732",="2.68",="1.5",,,
="1043887",="NS-40D510NA17-NEW",="1",USPS,first_class_mail,="9400111298370470785482",="4.06",="9.8",,,
="1043922",="NS-43D420NA18-USED",="1",USPS,first_class_mail,="9400111298370470786397",="3.28",="6.3",,,
="1043875",="IF_C47B1679",="1",USPS,first_class_mail,="9400111298370470705411",="3.36",="5.3",,,
="1043931",="E4STA5017-STAND-USED",="1",USPS,first_class_mail,="9400111298370470706661",="3.22",="6.6",,,
="1043946",="NH500UW-NEW",="1",USPS,first_class_mail,="9400111298370470133047",="2.84",="2.6",,,
="1043894",="101018E0025-NEW",="1",USPS,first_class_mail,="9400111298370470132149",="2.96",="2.2",,,
="1043945",="A-2037-764-A",="1",USPS,first_class_mail,="9400111298370470131418",="3.85",="9.7",,,
="1043891",="60R6E-NEW",="1",FEDEX,2day,="779374649489",="7.95",="32",,,
="1043939",="18320",="1",USPS,first_class_mail,="9400111298370470165819",="4.06",="9",,,
="1043977",="08-AU43CUN-OC402AA",="1",USPS,first_class_mail,="9400111298370470615307",="4.06",="10.8",,,
="1043937",="056.04146.000",="1",USPS,first_class_mail,="9400111298370470616649",="5.12",="15.99",,,
="1043930",="1CNCT201403025",="1",USPS,first_class_mail,="9400111298370470644895",="3.82",="9.5",,,
="1043975",="BN44-00775A",="1",FEDEX,2day,="779375980104",="7.95",="32",,,
="1043896",="N2QAEC000023-USED",="1",USPS,first_class_mail,="9400111298370470677640",="2.7",="1.6",,,
="1043948",="AN-MR650A-NEW",="1",USPS,first_class_mail,="9400111298370470694180",="3.28",="6.3",,,
="1043918",="111203300-NEW",="1",USPS,priority_mail,="9405511298370470690826",="6.95",="12.8",,,
="1043918",="111203300-NEW",="1",USPS,priority_mail,="9405511298370470690826",="6.95",="12.8",,,
="1043878",="JRC280-NEW",="1",USPS,first_class_mail,="9400111298370470696627",="2.84",="3",,,
="1043944",="RE46HQ0602",="1",USPS,first_class_mail,="9400111298370470626136",="3.96",="10.2",,,
="1043905",="BN59-01220D-NEW",="1",USPS,first_class_mail,="9400111298370470654047",="3.2",="5",,,
="1043879",="RE46ZN0160",="1",FEDEX,2day,="779376216331",="7.95",="32",,,
="1043967",="EAY63072201",="1",FEDEX,2day,="779376276874",="7.95",="32",,,
="1043927",="BN44-00775A",="1",FEDEX,2day,="779377976001",="7.95",="32",,,
="1043964",="PKTV53DF",="1",USPS,first_class_mail,="9400111298370476003399",="5.12",="15.4",,,
="1043966",="BN81-17669A",="1",USPS,first_class_mail,="9400111298370476832180",="5.02",="15.2",,,
="1043920",="ADTVC2418AC1",="1",FEDEX,2day,="779378242180",="7.95",="32",,,
="1043933",="BN94-12049B",="1",USPS,first_class_mail,="9400111298370476840840",="4.06",="11",,,
="1043971",="XBR-65X900E-NEW",="1",USPS,priority_mail,="9405511298370476871038",="10.33",="80",,,
="1043972",="UN60H6300AFXZA-USED",="1",FEDEX,home_delivery,="779378959472",="14.14",="128",,,
="1043962",="E195BV-SRR-NS-CXBRK",="1",FEDEX,home_delivery,="779379025800",="16.45",="128",,,
="1043943",="D24f-F1-TV-REF-1",="1",FEDEX,home_delivery,="779379560195",="16.31",="208",,,
="1043869",="IF_6CCBAA6A",="1",USPS,first_class_mail,="9400111298370476386461",="3.36",="5.8",,,
="1043983",="BN96-28772A-28773A-1",="1",USPS,first_class_mail,="9400111298370476223797",="5.53",="15.99",,,
="1043981",="A4AFCMMA-001",="1",USPS,first_class_mail,="9400111298370476225302",="5.12",="15",,,
="1043982",="08-L171WD2-PW200AA",="1",FEDEX,2day,="779380289888",="7.95",="32",,,
="1043984",="791.00W10.A007",="1",USPS,priority_mail,="9405511298370476253667",="7.42",="32",,,
="1043985",="101018E0067-NEW",="1",USPS,first_class_mail,="9400111298370476252056",="2.76",="2.2",,,
="1043979",="BN94-06418Z",="1",USPS,first_class_mail,="9400111298370476269009",="3.96",="9",,,
="1043980",="CIR-CIR-15",="1",USPS,first_class_mail,="9400111298370476258478",="2.68",="3.5",,,
="1043898",="UN32J4000CFXZA-TV-USED",="1",FEDEX,home_delivery,="779381689484",="11.32",="224",,,
="1043992",="LS6475-3-OPEN-BOX",="1",FEDEX,home_delivery,="779383802631",="13.58",="48",,,
="1043995",="60-RECT-USED",="1",FEDEX,home_delivery,="779384195419",="11.04",="192",,,
="1043990",="55.50T26.C19",="1",USPS,first_class_mail,="9400111298370476641522",="2.68",="3.4",,,
="1043988",="6871L-4024B-REF",="1",USPS,first_class_mail,="9400111298370476672472",="4.33",="10.5",,,
="1043988",="6871L-4024B-REF",="1",USPS,first_class_mail,="9400111298370476672472",="4.33",="10.5",,,
="1043988",="6871L-4024B-REF",="1",USPS,first_class_mail,="9400111298370476672472",="4.33",="10.5",,,
="1043988",="6871L-4024B-REF",="1",USPS,first_class_mail,="9400111298370476672472",="4.33",="10.5",,,
="1043988",="6871L-4024B-REF",="1",USPS,first_class_mail,="9400111298370476672472",="4.33",="10.5",,,
="1043994",="BN94-12734A",="1",USPS,first_class_mail,="9400111298370476678023",="4.98",="14.4",,,
="1043989",="55.55T10.C04",="1",USPS,first_class_mail,="9400111298370476676753",="2.68",="3.4",,,
="1043993",="LC-65Q6020U-USED",="1",USPS,priority_mail,="9405511298370476699281",="9.7",="32",,,
="1043986",="3200453T7115005",="1",USPS,priority_mail,="9405511298370476693777",="6.95",="14.4",,,
="1044013",="EAT63435701",="1",USPS,first_class_mail,="9400111298370471498411",="2.7",="3",,,
="1044005",="76H0839",="1",FEDEX,2day,="779399113606",="7.95",="32",,,
="1044019",="LNTVEY208XXB8",="1",USPS,first_class_mail,="9400111298370471424748",="3.96",="11.2",,,
="1044022",="BN59-01288A-NEW",="1",USPS,first_class_mail,="9400111298370471422751",="3.36",="4.3",,,
="1044016",="15752",="1",USPS,priority_mail,="9405511298370471427858",="6.95",="80",,,
="1044032",="BN59-01312A-NEW",="1",USPS,first_class_mail,="9400111298370471420870",="3.63",="4.3",,,
="1044002",="BN59-01194E-NEW",="1",USPS,first_class_mail,="9400111298370471453816",="2.76",="1",,,
="1044007",="DWM40F1D1-USED",="1",USPS,priority_mail,="9405511298370471452164",="9.22",="96",,,
="1044014",="75UK6500-USED",="1",USPS,priority_mail,="9405511298370471457237",="8.34",="48",,,
="1044024",="BN59-01301A-NEW-8",="1",USPS,first_class_mail,="9400111298370471469565",="3.09",="3",,,
="1044026",="NS-24DF310CA19-USED",="1",USPS,first_class_mail,="9400111298370471464485",="3.36",="5",,,
="1043997",="AKB75375604-NEW-9",="1",USPS,first_class_mail,="9400111298370471462931",="3.09",="4",,,
="1043996",="BN96-43169A-NEW",="1",USPS,first_class_mail,="9400111298370471468605",="2.84",="3.9",="8",="5",="2"
="1043998",="55.50T28.C03",="1",USPS,first_class_mail,="9400111298370471467172",="3.18",="6.3",="8",="6",="1"
="1043999",="6871L-3203D",="1",USPS,first_class_mail,="9400111298370471483998",="2.7",="3",,,
="1044017",="DP58D34-USED",="1",FEDEX,home_delivery,="779399383722",="12.31",="176",,,
="1044033",="00645428",="1",USPS,first_class_mail,="9400111298370471487958",="3.28",="8",,,
="1044010",="W10567080",="1",USPS,priority_mail,="9405511298370471481188",="7.61",="32",,,
="1044011",="AAN74592501-STAND-26",="1",FEDEX,ground,="779399457810",="8.4",="192",,,
="1044004",="BN96-35223A-BN96-38964W-24",="1",USPS,priority_mail,="9405511298370471400790",="7.81",="80",,,
="1044001",="BN95-02545A",="1",USPS,first_class_mail,="9400111298370471906398",="3.28",="5.5",,,
="1044027",="BN95-01336A",="1",USPS,first_class_mail,="9400111298370473039483",="3.2",="5.6",,,
="1044015",="6871L-3959A",="1",USPS,first_class_mail,="9400111298370473034839",="3.09",="3.6",,,
="1044009",="BN96-18153A-NEW-179",="1",USPS,first_class_mail,="9400111298370473030442",="2.66",="1",,,
="1044025",="55.55T32.C21",="1",USPS,priority_mail,="9405511298370473031787",="6.95",="4",,,
="1044030",="55.50T28.C03",="1",USPS,priority_mail,="9405511298370473014186",="6.95",="4",="8",="6",="1"
="1044021",="LNTVHU16ZXAB2",="1",USPS,first_class_mail,="9400111298370473016798",="4.94",="14.4",,,
="1044008",="X505BV-FSR-USED",="1",USPS,first_class_mail,="9400111298370473049024",="3.18",="7.3",,,
="1044023",="32GSR3000FB-NEW",="1",USPS,first_class_mail,="9400111298370473045347",="2.66",="2.8",,,
="1044028",="43LH5700UD-USED",="1",USPS,first_class_mail,="9400111298370473040489",="3.96",="11",,,
="1044003",="RUNTK5489TPZL",="1",USPS,first_class_mail,="9400111298370473047143",="3.09",="3.7",,,
="1043991",="BN94-07741B",="1",USPS,first_class_mail,="9400111298370473079823",="3.96",="8.8",,,
="1044012",="BN96-43169A-NEW-16",="1",USPS,first_class_mail,="9400111298370473073548",="2.68",="3.9",="8",="5",="2"
="1044018",="55.50T28.C03",="1",USPS,first_class_mail,="9400111298370473075689",="2.76",="4",="8",="6",="1"
="1043505",="6871L-3674B",="1",USPS,first_class_mail,="9400111298370473078178",="2.84",="3.2",,,
="1044020",="4T-TCN550-CS15",="1",USPS,first_class_mail,="9400111298370473094963",="2.84",="3.8",="9",="7",="2"
="1044020",="4T-TCN550-CS15",="1",USPS,first_class_mail,="9400111298370473094932",="2.84",="3.8",="9",="7",="2"
="1044036",="BN94-06175B",="1",USPS,first_class_mail,="9400111298370473006416",="5.53",="12.9",,,
="1044043",="BN94-12049G",="1",USPS,first_class_mail,="9400111298370473837997",="4.33",="11.2",,,
="1044037",="756TXHCB01K0550",="1",USPS,first_class_mail,="9400111298370473819276",="3.85",="8.2",,,
="1044035",="55.50T32.C17",="1",USPS,first_class_mail,="9400111298370473810853",="2.7",="3.5",,,
="1044038",="55.50T28.C03",="1",USPS,first_class_mail,="9400111298370473811263",="3.09",="3.9",="8",="6",="1"
="1044039",="9758080R",="1",USPS,first_class_mail,="9400111298370473847163",="3.88",="12",,,
="1044040",="BN61-13518A-NEW",="1",USPS,first_class_mail,="9400111298370473841277",="2.7",="1",,,
="1044042",="CIR-CIR-15",="1",USPS,first_class_mail,="9400111298370473870215",="2.68",="2.4",,,
="1044006",="BN61-13518A-NEW",="1",USPS,first_class_mail,="9400111298370473878129",="2.76",="1",,,
="1044000",="LJ92-01867A",="1",USPS,priority_mail,="9405511298370473871000",="9.26",="48",,,
="1044044",="BN94-11256A",="1",USPS,first_class_mail,="9400111298370473251953",="5.02",="14.6",,,
="1044046",="BN94-08110A",="1",USPS,first_class_mail,="9400111298370473267961",="3.82",="10.2",,,
="1044045",="AEZ73913401",="1",USPS,first_class_mail,="9400111298370473283008",="2.7",="1.9",,,
="1044041",="T8-55NA1G-MA1",="1",USPS,first_class_mail,="9400111298370473282711",="3.36",="8",,,
="1044031",="E246BD-FC-OPENBOX",="1",FEDEX,ground,="779404783520",="9.17",="192",,,
="1044048",="34.29110.0520G",="1",USPS,first_class_mail,="9400111298370473144736",="2.7",="3.7",,,
="1044047",="BN59-01301A-NEW-8",="1",USPS,first_class_mail,="9400111298370473145122",="3.09",="3",,,
="1044050",="CT-RC1US-19-USED",="1",USPS,first_class_mail,="9400111298370473155220",="2.7",="2.5",,,
="1044051",="18321",="1",USPS,first_class_mail,="9400111298370473150072",="3.96",="10.3",,,
="1044034",="55.55T16.C10",="1",USPS,first_class_mail,="9400111298370473646797",="3.09",="3",,,
="1044054",="101018E0067-NEW",="1",USPS,first_class_mail,="9400111298370473674462",="2.96",="3",,,
="1044056",="AKB75375604-NEW-2",="1",USPS,first_class_mail,="9400111298370473670730",="2.84",="3",,,
="1044055",="BN96-18153A-NEW-118",="1",USPS,first_class_mail,="9400111298370473678484",="2.76",="1",,,
="1044057",="WPW10195536",="1",USPS,priority_mail,="9405511298370473691783",="6.95",="3",,,
="1044058",="756TXFCB0QK0240",="1",USPS,priority_mail,="9405511298370473663117",="7.61",="32",,,
="1044059",="101018E0067-NEW",="1",USPS,first_class_mail,="9400111298370473922655",="2.7",="3",,,
="1043978",="XBR-65X930E-USED",="1",FEDEX,home_delivery,="779410052263",="11.04",="144",,,
="1044053",="E500I-B1-STAND-USED",="1",USPS,priority_mail,="9405511298370473966980",="9.22",="96",,,
="1043987",="XBR-55X700D-USED",="1",FEDEX,home_delivery,="779410137715",="12.68",="80",,,
="1044029",="20031",="1",FEDEX,home_delivery,="779410169261",="12.87",="112",,,
="1044052",="10897",="1",FEDEX,home_delivery,="779410228253",="11.92",="160",,,
="1044061",="3903-001117-NEW-181",="1",USPS,first_class_mail,="9400111298370415034682",="2.68",="4",,,
="1044060",="RCA46",="1",USPS,first_class_mail,="9400111298370415036419",="3.2",="6.3",,,
="1044062",="08-CS55CFN-OC406AA",="1",USPS,first_class_mail,="9400111298370415052785",="3.88",="11.2",,,
="1044063",="AKB75375604-NEW-7",="1",USPS,first_class_mail,="9400111298370415050569",="2.66",="3.6",,,
="1043800",="BN96-35223A-BN96-38964W-7",="1",FEDEX,home_delivery,="779412352849",="11.67",="80",,,
="1044064",="3639-0122-0150",="1",USPS,first_class_mail,="9400111298370415802076",="3.22",="7.3",,,
="1044065",="BN96-28772A-28773A-1",="1",USPS,first_class_mail,="9400111298370415334560",="5.12",="15.4",,,
="1044074",="08-CS55CFN-OC406AA",="1",USPS,first_class_mail,="9400111298370414897769",="4.06",="10",,,
="1044101",="LNTVGU21EXAF8",="1",FEDEX,2day,="779449780343",="8.2",="32",,,
="1044193",="BN44-00774A",="1",FEDEX,2day,="779449822480",="8.2",="32",,,
="1044217",="EAT63377302",="1",USPS,first_class_mail,="9400111298370414447841",="2.84",="2",,,
="1044069",="EAT63435701",="1",USPS,first_class_mail,="9400111298370414654577",="2.84",="3",,,
="1044173",="EAT63377302",="1",USPS,first_class_mail,="9400111298370414669502",="3.09",="2",,,
="1044276",="EAT63435701",="1",USPS,first_class_mail,="9400111298370414935300",="2.7",="3",,,
="1044237",="EAT63435701",="1",USPS,first_class_mail,="9400111298370414601427",="2.66",="3",,,
="1044274",="EAT63435701",="1",USPS,first_class_mail,="9400111298370414936512",="3.09",="3",,,
="1044188",="A4AF1MMA-001",="1",USPS,priority_mail,="9405511298370414949812",="10.86",="32",,,
="1044108",="09-60CAP000-00",="1",USPS,priority_mail,="9405511298370414973060",="6.95",="48",="16",="12",="4"
="1044219",="0500-0605-0940",="1",USPS,priority_mail,="9405511298370414995413",="8.5",="32",="16",="12",="4"
="1044079",="RUNTKB285WJQZ-CHIP",="1",USPS,priority_mail,="9405511298370414978478",="8.34",="48",="16",="12",="4"
="1044126",="W11314391",="1",USPS,priority_mail,="9405511298370414925311",="6.95",="48",="16",="12",="4"
="1044146",="LJ92-01797A",="1",USPS,priority_mail,="9405511298370414905986",="10.86",="21",,,
="1044113",="RUNTKB285WJQZ-CHIP",="1",USPS,priority_mail,="9405511298370417039251",="9.26",="48",="16",="12",="4"
="1044143",="A4AFTMMA-001",="4",USPS,priority_mail,="9405511298370417037752",="13.75",="64",,,
="1044186",="BP96-01103A",="1",USPS,priority_mail,="9405511298370417091761",="7.88",="32",,,
="1044164",="W10195416V",="1",USPS,first_class_mail,="9400111298370417028917",="2.7",="3",,,
="1044117",="BN59-01267A-REF",="1",USPS,first_class_mail,="9400111298370417056187",="3.09",="4",,,
="1044139",="SOY-1200500",="1",USPS,first_class_mail,="9400111298370417061365",="5.12",="15.4",,,
="1044135",="BN96-24259B",="1",USPS,first_class_mail,="9400111298370417003358",="3.09",="2",,,
="1044202",="316022500",="1",USPS,first_class_mail,="9400111298370417839230",="2.68",="1",,,
="1044120",="H15030870-32",="1",USPS,first_class_mail,="9400111298370417831791",="4.98",="13",,,
="1044236",="101018E0020-NEW",="1",USPS,first_class_mail,="9400111298370417812677",="2.68",="3",,,
="1044171",="LJ92-01949A",="1",USPS,priority_mail,="9405511298370417828695",="7.42",="32",,,
="1044144",="401-2Q401-D4202",="1",USPS,priority_mail,="9405511298370417853772",="7.99",="48",,,
="1044180",="056.04198.0041",="1",USPS,priority_mail,="9405511298370417860930",="9.26",="48",,,
="1044204",="A-1927-460-A",="1",USPS,priority_mail,="9405511298370417887890",="7.49",="2",,,
="1044067",="A4AFCMMA-001",="1",USPS,priority_mail,="9405511298370417319476",="9.7",="32",,,
="1044255",="UN40J5200AF-USED",="1",USPS,priority_mail,="9405511298370417342948",="9.12",="80",="36",="12",="4"
="1044165",="A-1734-044-A",="1",USPS,priority_mail,="9405511298370417322698",="8.5",="32",,,
="1044155",="EAU61383503",="1",USPS,priority_mail,="9405511298370417353784",="7.61",="32",="12",="8",="3"
="1044208",="RUNTK0228FVZZ",="1",USPS,first_class_mail,="9400111298370417357345",="4.33",="9",,,
="1044158",="08-L14TWA2-PW220AN",="1",USPS,first_class_mail,="9400111298370417360109",="5.12",="14",,,
="1044273",="BN44-00775A",="1",USPS,priority_mail,="9405511298370417385631",="7.88",="32",,,
="1044213",="BN94-10838Q",="1",USPS,first_class_mail,="9400111298370417305247",="5.12",="15",,,
="1044099",="3648-0192-0150",="1",USPS,first_class_mail,="9400111298370417306305",="5.02",="14",,,
="1044075",="BN94-06418T",="1",USPS,first_class_mail,="9400111298370417236701",="4.98",="14",,,
="1044066",="3648-0262-0150",="1",USPS,priority_mail,="9405511298370417215921",="7.61",="32",,,
="1044097",="BN44-00775A",="1",USPS,priority_mail,="9405511298370417216362",="8.5",="32",,,
="1044235",="BN44-00775A",="1",USPS,priority_mail,="9405511298370417279909",="7.88",="32",,,
="1044153",="00629722",="1",USPS,first_class_mail,="9400111298370417277469",="2.76",="3",,,
="1044112",="9758080R",="1",USPS,priority_mail,="9405511298370417502588",="7.88",="32",,,
="1044084",="8201661",="1",USPS,priority_mail,="9405511298370417708232",="7.42",="32",,,
="1044116",="BN94-06739E",="1",USPS,priority_mail,="9405511298370417132532",="7.49",="13",,,
="1044195",="08-AU43CUN-OC402AA-V3",="1",USPS,first_class_mail,="9400111298370417114580",="3.96",="10.4",,,
="1044245",="BN94-12049H",="1",USPS,first_class_mail,="9400111298370417144945",="4.33",="12",,,
="1044233",="1-474-486-11",="1",USPS,first_class_mail,="9400111298370417199808",="5.12",="15",,,
="1044174",="MP120D-1MF21-1",="1",USPS,priority_mail,="9405511298370417444598",="8.34",="32.8",,,
="1044105",="BN91-17814W-REF",="1",USPS,priority_mail,="9405511298370417478302",="7.61",="32",,,
="1044279",="RUNTK5556TP",="1",USPS,first_class_mail,="9400111298370417493654",="3.88",="9",,,
="1044083",="RUNTK0228FVZZ",="1",USPS,first_class_mail,="9400111298370417423071",="3.96",="9",,,
="1044240",="55.55T12.C02",="1",USPS,first_class_mail,="9400111298370417611904",="3.82",="10",,,
="1044282",="T8-32NAZP-MA4",="1",USPS,first_class_mail,="9400111298370417656882",="5.02",="15",,,
="1044290",="08-CS55TML-LC367AA",="1",USPS,first_class_mail,="9400111298370417935406",="4.33",="11.4",,,
="1044166",="MIP550D-5TH",="1",USPS,priority_mail,="9405511298370417936741",="7.88",="32",,,
="1044070",="08-CS49TML-LC224AA",="1",USPS,first_class_mail,="9400111298370417914838",="3.96",="11.2",,,
="1044197",="B13116628",="2",USPS,priority_mail,="9405511298370417916323",="8.5",="32",,,
="1044134",="PLTVFY751AAU4",="1",USPS,priority_mail,="9405511298370417945507",="8.5",="32",,,
="1044182",="W10498011",="1",USPS,first_class_mail,="9400111298370417984664",="5.53",="15",,,
="1044077",="756TXHCB02K0240",="1",USPS,priority_mail,="9405511298370418033074",="7.61",="32",,,
="1044130",="BN96-28772A-28773A-1",="1",USPS,priority_mail,="9405511298370418054475",="9.7",="32",,,
="1044102",="BN44-00774A",="1",FEDEX,2day,="779462752318",="8.2",="32",,,
="1044128",="BN96-28772A-28773A-1",="1",USPS,priority_mail,="9405511298370418069622",="7.88",="32",,,
="1044163",="BN44-00774A",="1",FEDEX,2day,="779462779954",="8.2",="32",,,
="1044161",="3648-0262-0150",="1",FEDEX,2day,="779462807330",="8.2",="32",,,
="1044127",="BN96-28772A-28773A-4",="1",USPS,priority_mail,="9405511298370418066942",="8.5",="32",,,
="1044119",="08-CS55CFN-OC406AA",="1",FEDEX,2day,="779462831780",="8.2",="32",,,
="1044169",="42LB5600-NEW",="1",USPS,first_class_mail,="9400111298370418088811",="5.12",="14",,,
="1044287",="BN96-43169A-NEW-18",="1",USPS,first_class_mail,="9400111298370418009793",="2.7",="3.9",="8",="5",="2"
="1044178",="UN40KU7000FXZA-USED",="1",FEDEX,home_delivery,="779462993725",="16.61",="112",="36",="12",="4"
="1044277",="W10498011",="1",FEDEX,2day,="779463032920",="8.2",="32",,,
="1044129",="00167085",="1",USPS,first_class_mail,="9400111298370418816674",="3.2",="6",,,
="1044278",="43LH5700UD-USED",="1",USPS,first_class_mail,="9400111298370418844127",="4.06",="11",,,
="1044205",="D32H-F0-USED",="1",USPS,first_class_mail,="9400111298370418840662",="3.09",="4",,,
