"Order Number",SKU,Quantity,Carrier,"Service Level",Tracking,Cost,"Package Weight","Package Length","Package Width","Package Height"
="1056802",="02189A-02190A-NEW",="1",USPS,"USPS First Class",="9400111298370143330537",="2.93",,,,
="1056723",="CIR-CIR-15",="1",USPS,"USPS First Class",="9400111298370143313653",="2.78",,,,
="1056703",="BN59-01298H-NEW",="1",USPS,"USPS First Class",="9400111298370143317385",="3.18",,,,
="1056758",="BN59-01298H-NEW",="1",USPS,"USPS First Class",="9400111298370143371318",="2.93",,,,
="1056724",="CIR-CIR-18",="1",USPS,"USPS Priority",="9405511298370143395942",="7.56",,,,
="1056611",="5304506525",="1",USPS,"USPS First Class",="9400111298370143398131",="3.25",,,,
="1056751",="A-2170-503-A",="1",FEDEX,"FedEx One Rate® (2Day)",="392948447578",="8.2",,,,
="1056786",="RUNTK5556TP",="1",USPS,"USPS First Class",="9400111298370143164859",="4.18",,,,
="1056770",="BN96-28936A",="1",USPS,"USPS First Class",="9400111298370143189159",="4",,,,
="1056769",="08-CS55TML-LC367AA",="1",USPS,"USPS First Class",="9400111298370143443374",="3.97",,,,
="1056762",="32GSR3000FB-USED",="1",USPS,"USPS First Class",="9400111298370143767616",="2.84",,,,
="1056695",="756TXFCB0QK0030",="1",FEDEX,"FedEx One Rate® (2Day)",="392947971054",="8.2",,,,
="1056809",="A4AFTMMA-001",="1",FEDEX,"FedEx One Rate® (2Day)",="392948020890",="8.2",,,,
="1056678",="D55X-G1-USED",="1",USPS,"USPS First Class",="9400111298370143701986",="4",,,,
="1056636",="43LF421U19-NEW",="1",USPS,"USPS First Class",="9400111298370143134319",="4",,,,
="1056598",="ONA55UB19E06-USED",="1",USPS,"USPS First Class",="9400111298370143131578",="3.39",,,,
="1056737",="LJ94-29023C",="1",USPS,"USPS Priority",="9405511298370143110170",="7.56",,,,
="1056707",="AA7R1MMA-001",="1",USPS,"USPS Priority",="9405511298370143140900",="7.8",,,,
="1056575",="756TXFCB0QK0240",="1",USPS,"USPS Priority",="9405511298370143173618",="8.12",,,,
="1056765",="BN44-00509A-REF",="1",FEDEX,"FedEx One Rate® (2Day)",="392948370161",="8.2",,,,
="1056753",="BN96-46074B",="1",USPS,"USPS First Class",="9400111298370143478376",="4.08",,,,
="1056785",="BN94-06437E",="1",USPS,"USPS First Class",="9400111298370143495632",="5.12",,,,
="1056808",="A4AFRMMA-001",="1",USPS,"USPS First Class",="9400111298370143422638",="5.4",,,,
="1056551",="68-32D27L-000-NEW",="1",USPS,"USPS Priority",="9405511298370143452072",="8.44",,,,
="1056791",="4T-TCN550-CS15",="1",USPS,"USPS Priority",="9405511298370143469476",="8.15",,,,
="1056730",="32LB5600-USED",="1",USPS,"USPS First Class",="9400111298370143695940",="4.08",,,,
="1056722",="E4STA5017-STAND-USED",="1",USPS,"USPS First Class",="9400111298370143904165",="3.31",,,,
="1056581",="W10168824",="1",USPS,"USPS First Class",="9400111298370143900471",="3.25",,,,
="1056632",="32S305-BLACK-NEW",="1",USPS,"USPS Priority",="9405511298370175032983",="7.98",,,,
="1056795",="08-CS55CUN-OC411AA-1",="1",USPS,"USPS First Class",="9400111298370175019974",="4",,,,
="1056727",="COV33653801",="1",USPS,"USPS First Class",="9400111298370175044471",="5.4",,,,
="1056768",="BN44-00775A",="1",FEDEX,"FedEx One Rate® (2Day)",="392950352210",="8.2",,,,
="1056634",="756TXFCB0QK0240",="1",FEDEX,"FedEx One Rate® (2Day)",="392950407482",="8.2",,,,
="1056811",="1-897-219-11",="1",USPS,"USPS Priority",="9405511298370175053186",="9.54",,,,
="1056715",="T8-32NAZP-MA1",="1",USPS,"USPS First Class",="9400111298370175056917",="4.46",,,,
="1056797",="BN95-01336A",="1",USPS,"USPS First Class",="9400111298370175064462",="3.23",,,,
="1056739",="3655-0642-0150",="1",USPS,"USPS First Class",="9400111298370175089229",="5.04",,,,
="1056788",="TATDJ4S57",="1",USPS,"USPS First Class",="9400111298370175080516",="3.18",,,,
="1056716",="6871L-5283A",="1",USPS,"USPS First Class",="9400111298370175005663",="3.18",,,,
="1056605",="D55N-E2-NEW",="1",USPS,"USPS Priority",="9405511298370175833795",="7.8",,,,
="1056704",="LC-43LBU591U-USED",="1",USPS,"USPS First Class",="9400111298370175837776",="3.31",,,,
="1056657",="UN65NU6900F-NEW",="1",USPS,"USPS First Class",="9400111298370175812438",="5.4",,,,
="1056714",="48-55-EH-RECT-USED-6",="1",USPS,"USPS Priority",="9405511298370175879649",="11.49",,,,
="1056689",="NS-55DF710NA19-USED",="1",USPS,"USPS Priority",="9405511298370175898442",="7.98",,,,
="1056594",="E32H-D1-USED",="1",USPS,"USPS First Class",="9400111298370175828903",="3.25",,,,
="1056801",="48-55-EH-RECT-USED",="1",FEDEX,"FedEx Home Delivery®",="392951201408",="14.53",,,,
="1056734",="48-55-EH-RECT-USED-6",="1",FEDEX,"FedEx Home Delivery®",="392951288281",="12.29",,,,
="1056774",="E280I-A1-USED",="1",USPS,"USPS Priority",="9405511298370175347681",="8.59",,,,
="1056743",="M501D-A2R-USED",="1",FEDEX,"FedEx Home Delivery®",="392951392806",="12.74",,,,
="1056793",="XBR-65X750D-USED",="1",USPS,"USPS Priority",="9405511298370175326716",="9.5",,,,
="1056637",="NS-32D220NA20-USED",="1",USPS,"USPS First Class",="9400111298370175365613",="2.78",,,,
="1056507",="E32H-D1-USED",="1",USPS,"USPS First Class",="9400111298370175380487",="3.39",,,,
="1056593",="E32H-D1-USED",="1",USPS,"USPS First Class",="9400111298370175304650",="3.25",,,,
="1056610",="50LF621U19-USED",="1",USPS,"USPS First Class",="9400111298370175238597",="5.12",,,,
="1056571",="40PFL4901/F7-USED",="1",USPS,"USPS Priority",="9405511298370175216246",="7.56",,,,
="1056537",="32H4030F-USED",="1",USPS,"USPS First Class",="9400111298370175273369",="3.25",,,,
="1056713",="EL4KAMZ5517T-STAND-USED",="1",USPS,"USPS Priority",="9405511298370175276103",="7.98",,,,
="1056660",="X505BV-FSR-NEW",="1",USPS,"USPS First Class",="9400111298370175298942",="3.25",,,,
="1056596",="M557-G0-USED",="1",USPS,"USPS First Class",="9400111298370175221902",="3.97",,,,
="1056699",="40PFL4901/F7B-NEW",="1",USPS,"USPS First Class",="9400111298370175269300",="4.18",,,,
="1056561",="NS-32D220NA18-USED",="1",USPS,"USPS First Class",="9400111298370175283313",="2.84",,,,
="1056738",="NS-40D420NA20-USED",="1",USPS,"USPS First Class",="9400111298370175288646",="5.27",,,,
="1056756",="NS-43D420NA20-NEW",="1",USPS,"USPS First Class",="9400111298370175201157",="5.4",,,,
="1056682",="D40F-G9-USED",="1",USPS,"USPS First Class",="9400111298370175519603",="3.67",,,,
="1056583",="D32H-F0-USED",="1",USPS,"USPS First Class",="9400111298370175575401",="2.74",,,,
="1056728",="QN49Q60RAFXZA-NEW",="1",USPS,"USPS First Class",="9400111298370175599964",="5.12",,,,
="1056780",="00415504",="1",USPS,"USPS First Class",="9400111298370175591517",="4",,,,
="1056766",="QN65Q70RAFXZA-USED",="1",FEDEX,"FedEx One Rate® (2Day)",="392952363460",="8.2",,,,
="1056523",="QN49Q6FNAFXZA-USED",="1",USPS,"USPS Priority",="9405511298370175567997",="8.15",,,,
="1056731",="WD28X20420",="1",USPS,"USPS Priority",="9405511298370175580477",="11.18",,,,
="1056712",="154246402",="1",USPS,"USPS First Class",="9400111298370175505415",="3.52",,,,
="1056588",="BN96-44183A-USED",="10",FEDEX,"FedEx Ground®",="392952567829",="13.57",,,,
="1056779",="UN55NU7100FXZA-STAND-NEW",="1",USPS,"USPS First Class",="9400111298370175731777",="5.27",,,,
="1056729",="AKB75675304-NEW",="1",USPS,"USPS First Class",="9400111298370175717979",="2.78",,,,
="1056790",="111203301-NEW-4",="1",USPS,"USPS First Class",="9400111298370175742155",="2.93",,,,
="1056744",="UN40J5200AF-USED",="1",USPS,"USPS Priority",="9405511298370175772629",="10.64",,,,
="1056617",="NS-43DF710NA19-USED",="1",USPS,"USPS First Class",="9400111298370175794369",="4.08",,,,
="1056778",="UN40J5200AF-USED",="1",FEDEX,"FedEx Home Delivery®",="392952852700",="13.67",,,,
="1056706",="BN59-01174A-NEW",="1",USPS,"USPS First Class",="9400111298370175114426",="3.05",,,,
="1056718",="AN-MR560A-USED",="1",USPS,"USPS First Class",="9400111298370175116833",="3.67",,,,
